tae-yong|tê dông
Atkinson|át kin sơn
Bailey|bai li
Baker|bây cơ
Ball|bô
Barker|ba cơ
Barnes|ban
Bell|beo
Bennett|be nít
Booth|bút
Bradley|bờ rát li
Brown|bờ rao
Burton|bơ từn
Butler|bát lơ
Campbell|cam beo
Chapman|cháp mừn
Clarke|cờ lác
Cole|câu
Collins |co lừn
Corbyn|co bin
Davidson|đây vít sơn
Davies|đây vi
Dawson|đo sơn
Dixon|đích sơn
Edwards|ét guốt
Elliott|e li ớt
Evans|e vừn
Fisher|phít sờ
Fletcher|phờ lét chờ
Foster|phốt tơ
Gibson|gíp sơn
Graham|gờ ra ham
Grant|gờ ran
Griffiths|gờ ri phíp
Hall|hô
Harrison|ha ri sơn
Holmes|hôm
Howard|ho guốt
Hunt|hăn
Hunter|hăn tơ
Jenkins|gien kin
Johnston|giôn từn
Kelly|ke ly
Knight|nai
Lawrence|lau ren
Lee|li 
Lewis|lu ít
Marshall|mác san
Matthews|mát thiu
McDonald|mác đô nan
Mitchell|mít chờ
Moore|mo
Morgan|mo gừn
Morris|mo rít
Murray|mơ rây
Owen|ô oen
Palmer|pam mơ
Parker|pác cơ
Payne|pây nơ
Pearce|pia
Pearson|pia sừn
Perry|pe ri
Powell|pao ồ
Price|pờ rai
Reid|rít
Reynolds|re nồ
Richards|ri chát
Roberts|rô bớt
Rogers|rô giơ
Rose|râu
Russell|rút seo
Saunders|son đơ
Shaw|so
Simpson|sim sơn
Spencer|sờ pen sơ
Stevens|sờ ti vừn
Stewart|sờ tiu ớt
Thomas|thô mát
Walker|goắc cơ
Walsh|goát
Ward|guốt
Watson|goát sơn
Watts|goát
Webb|goép
Webster|goép tơ
West|goét
White|goai
Wilkinson|guyn kin sơn
Williamson|guy li am sơn
Wilson|guyn sơn
Wood|út
Wright|rai
Siena|si e na
one|oăn
two|tu
three|thờ ri
six|xích
seven|se vừn
eight|ết
eleven|i le vừn
twelve|thoeo
Adela|a đê la
Adele|a đeo
Adelia|a đê li a
Alice|a lít
Artemis|a te mít
Almira|an mi ra
Alva|an va
Bertha|be tha
Briona|bờ ri ô na
Clara|cờ la ra
Cleopatra|cờ lê ô pát tra
Donna|đô na
Doris|đô rít
Elysia|e li si a
Florence|phờ lo ren
Freya|phờ rây a
Gladys|gờ lát đi
Gloria|gờ lo ri a
Gwyneth|guyn nít
Helga|heo ga
Juno|giu nô
Ladonna|la đô na
Martha|ma tha
Meliora|me li ô ra
Mirabel|mi ra beo
Orla|o la
Pandora|pan đô ra
Phoebe|phi bi
Regina|re gi na
Una|u na
Xavia|xa vi a
Amanda|a man đa
Ariel|a ri eo
Bonnie|bo ni
Cara|ca ra
Daisy|đây di
Diana|đi a na
Elaine|ơ lên
Ellie|e li
Fiona|phi ô na
Hannah|ha na
Hera|hê ra
Iris|ai rít
Jade|dết
Jena|giê na
Joy|choi
Juliet|giu li ét
July|giu lai
May|mây
Mia|mi a
Sophia|sô phi a
Stella|sờ tê la
Sunny|săn ni
Vivian|vi vi an
Anna|a na
Annabelle|a na beo
Chloe|cờ lâu i
Elizabeth|ê li da bét
Jessica|dét si ca
Joanna|giô an
Katherine|ca thơ rin
Sally|sa li
Selena|sê lê na
Zelda|deo đa
Ivy|ai vi
mr|mít tờ
mrs|mít si
